brand,cc,mileage,name,power,price,rating,type
Honda,123.94 cc,60 kmpl,Honda SP 125,10.87 PS,"Rs.89,468 - 1 Lakh*(View On Road Price)",4.5/5,bike
Honda,123.94 cc,55 kmpl,Honda Shine,10.74 PS,"Rs.83,251 - 89,772*(View On Road Price)",4.3/5,bike
Honda,184.4 cc,57.35 kmpl,Honda Hornet 2.0,17.26 PS,Rs.1.43 - 1.57 Lakh*(View On Road Price),4.7/5,bike
Honda,162.71 cc,65 kmpl,Honda SP160,13.46 PS,Rs.1.21 - 1.28 Lakh*(View On Road Price),4.6/5,bike
Honda,348.36 cc,45.8 kmpl,Honda Hness CB350,21.07 PS,Rs.2.11 - 2.16 Lakh*(View On Road Price),4.3/5,bike
Honda,162.71 cc,50 kmpl,Honda Unicorn,13.18 PS,Rs.1.20 Lakh*(View On Road Price),4.6/5,bike
Honda,348.36 cc,42.17 kmpl,Honda CB350,21.07 PS,Rs.2 - 2.18 Lakh*(View On Road Price),4.4/5,bike
Honda,348.36 cc,35 kmpl,Honda CB350RS,21.07 PS,Rs.2.16 - 2.19 Lakh*(View On Road Price),4.2/5,bike
Honda,109.51 cc,60 kmpl,Honda Livo,8.79 PS,"Rs.81,651 - 85,651*(View On Road Price)",4.4/5,bike
Honda,98.98 cc,55 kmpl,Honda Shine 100,7.38 PS,"Rs.66,900 - 68,794*(View On Road Price)",4.3/5,bike
Honda,649 cc,25 Kmpl,Honda CBR650R,95.17 PS,Rs.10.40 Lakh*(View On Road Price),4.2/5,bike
Honda,184.4 cc,40 kmpl,Honda CB200X,17.26 PS,Rs.1.51 Lakh*(View On Road Price),4.3/5,bike
Honda,109.51 cc,65 kmpl,Honda CD 110 Dream,8.79 PS,"Rs.76,401*(View On Road Price)",4.4/5,bike
Honda,286.01 cc,30 kmpl,Honda CB300R,31.13 PS,Rs.2.40 Lakh*(View On Road Price),4.3/5,bike
Honda,293.52 cc,30 kmpl,Honda CB300F,24.4 PS,Rs.1.70 Lakh*(View On Road Price),4.3/5,bike
Honda,649 cc,20.4 Kmpl,Honda CB650R,95.17 PS,Rs.9.60 Lakh*(View On Road Price),4.5/5,bike
Honda,184.4 cc,35 Kmpl,Honda NX200,16.99 PS,Rs.1.69 Lakh*(View On Road Price),4.7/5,bike
Honda,1833 cc,14 kmpl,Honda Gold Wing,126.4 PS,Rs.39.16 Lakh*(View On Road Price),4.8/5,bike
Honda,471 cc,27.78 kmpl,Honda NX500,47.5 PS,Rs.5.90 Lakh*(View On Road Price),4.7/5,bike
Honda,,293.52 cc,Honda CB300F Flex-Fuel,,Rs.1.70 Lakh*(View On Road Price),4.7/5,bike
Honda,1082.96 cc,20 kmpl,Honda CRF1100L Africa Twin,99.2 PS,Rs.15.97 - 17.51 Lakh*(View On Road Price),4.5/5,bike
Honda,755 cc,23 kmpl,Honda XL750 Transalp,91.7 PS,Rs.11 Lakh*(View On Road Price),4.6/5,bike
